"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",4.456,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",5.091,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",6.651,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",8.814,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",7.411,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",6.863,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",5.951,,,,"Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",5.24,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Antigua and Barbuda","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",3.862,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Antigua and Barbuda","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",6.193,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",7.253,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",7.671,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bahamas","LFS - Labour Force & Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",10.122,,,,"Data reference period: May"
"Belize","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",5.791,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",5.738,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",4.003,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",4.302,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",4.998,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",5.211,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bermuda","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",7.38,,,"Unemployment definition: Two criteria (not in employment and seeking)","Data reference period: May | Population coverage: Excluding institutional population | Age coverage - minimum age: 16 years old"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",2.553,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",2.919,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",4.271,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","HIES - Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",6.296,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",2.924,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",2.775,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",2.994,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",2.764,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","HIES - Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",2.27,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","HIES - Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",1.351,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2024",5.181,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",6.062,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",6.926,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",10.077,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",10.364,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",8.679,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",8.926,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",9.276,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",8.213,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",6.043,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",4.711,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",5.112,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",5.546,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",8.947,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",6.323,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",6.489,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",6.73,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",6.178,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Barbados","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",7.642,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Barbados","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",9.6,,,,
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2024",5.223,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",4.537,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",4.497,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",6.551,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",7.962,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",4.831,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",5.012,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",5.606,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",6.09,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",5.928,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",5.922,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2024",7.714,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",7.918,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",7.375,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",8.336,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",9.748,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",6.334,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",6.466,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",6.041,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",5.855,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",5.417,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",5.374,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2024",8.072,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",7.965,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",8.749,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",11.754,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",13.48,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",8.276,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",7.334,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",7.14,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",6.919,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",6.624,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Colombia","LFS - Integrated Household Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",6.651,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2024",5.146,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",6.11,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",8.383,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",11.164,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",12.585,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",7.49,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",6.165,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",5.394,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",5.555,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",5.712,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",5.287,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Curaçao","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",17.29,,,,"Employment definition: Including subsistence workers | Data reference period: Fourth quarter"
"Curaçao","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",12.11,,,,"Employment definition: Including subsistence workers | Data reference period: Fourth quarter | Age coverage - maximum age: 64 years old"
"Curaçao","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",10.17,,,,"Data reference period: September"
"Curaçao","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",11.06,,,,"Data reference period: Fourth quarter"
"Cayman Islands","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",3.46,,,,"Data reference period: October"
"Cayman Islands","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",3.72,,,,"Data reference period: October"
"Dominican Republic","LFS - Continuous National Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",4.397,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",4.038,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",5.827,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",4.534,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",4.399,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",3.958,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",4.178,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",5.109,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",5.589,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - National Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",5.247,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2024",2.466,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",2.709,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",2.78,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",3.526,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",5.16,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",2.846,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",2.647,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",2.889,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",3.407,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",2.547,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",2.349,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Falkland Islands, Malvinas","PC - Population Census","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",0.7,,,,"Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 16 years old | Age coverage - maximum age: 64 years old"
"Grenada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",4.846,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Grenada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",9.894,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Grenada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",11.004,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Grenada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",7.456,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Grenada","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",11.333,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","HIES - Household Income and Expenditure Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",1.655,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",1.988,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",1.598,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",1.339,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",1.35,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Guatemala","LFS - Employment and Income Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",1.493,,,,"Repository: ILO-STATISTICS - Micro data processing"
