"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",1.695,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",2.265,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",2.455,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",3.575,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",1.837,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",1.711,,,,"Repository: ILO-STATISTICS - Micro data processing"
"United Arab Emirates","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",1.904,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Iraq","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",10.816,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Iraq","HIES - Household Socio-Economic Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",9.75,,,,
"Iraq","HIES - Household Socio-Economic Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",7.52,,,,
