"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Albania","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",9.078,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",9.224,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",9.648,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",9.853,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",9.474,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",10.195,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",11.588,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",12.964,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",14.198,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",15.227,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",7.205,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",6.771,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2021",7.04,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2020",6.552,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2019",8.344,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","HIES - Households Living Conditions Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2018",8.989,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2017",15.468,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2016",15.497,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2015",16.364,,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2014",14.814,"Break in series",,"Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Austria","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2023",4.53,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Austria","LFS - Labour Force Survey","SDG indicator 8.5.2 - Unemployment rate (%)","Total","Age (Youth, adults): 25+","2022",4.323,,,,"Repository: ILO-STATISTICS - Micro data processing"
