Image source,Title,Creator,Price($),N°Sale,Rate,N°Reviews,Date,Url
https://graphicriver.img.customer.envatousercontent.com/files/28641110/BoxSetforBusinessCards_W590px.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=3bfadb6bef1678c92c241c3293ea809d,Box Set For Business Cards,zarins,9,222 ,4.5,10,2012-06-08,https://graphicriver.net/item/box-set-for-business-cards/2474448
https://graphicriver.img.customer.envatousercontent.com/files/172555373/image_preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=0d5c7dee5b96288ced4010bb1c5da0f6,Label Design  Bottle Nutrition Supplement,designstudios,9,216 ,0,0,2016-02-16,https://graphicriver.net/item/label-design-template-bottle-nutrition-supplement/14837942
https://graphicriver.img.customer.envatousercontent.com/files/243375124/preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=ef11cdc1285f1b8054ddbc0719309ccd,Juice Bottle Label ,Artsignz,8,203 ,4.2,5,2016-02-03,https://graphicriver.net/item/juice-bottle-label-template/14664239
https://graphicriver.img.customer.envatousercontent.com/files/141308628/black-label-design-template.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=3dd4c4046a44791d6a46d034da5d0df2,Labels,mihalymm,13,188 ,2.33,3,2013-11-13,https://graphicriver.net/item/labels/6114815
https://graphicriver.img.customer.envatousercontent.com/files/64284854/Label-Template.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=a0538781fdaa4e06ae8d1c434fcd762f,Labels,mihalymm,13,181 ,3.8,5,2013-09-03,https://graphicriver.net/item/labels/5398701
https://graphicriver.img.customer.envatousercontent.com/files/145964493/soap-package.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=ddb2c6cbefc6e6ce06dc0da906d1bf2f,Soap Wrap Labels,mihalymm,13,169 ,5.0,4,2015-08-22,https://graphicriver.net/item/soap-wrap-labels/12533098
https://graphicriver.img.customer.envatousercontent.com/files/167171999/Sauce+Label+1+Image+Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=ff3b393a0f05a0a1f5613960824b4c25,Sauce Jar Label  - Western,CreativB,9,150 ,0,0,2016-01-15,https://graphicriver.net/item/sauce-jar-label-templates-western/14462102
https://graphicriver.img.customer.envatousercontent.com/files/154658891/box-package.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=cb045187d5d685a27e324bcedfe57396,3 Box Design ,mihalymm,13,138 ,3.67,3,2015-10-26,https://graphicriver.net/item/3-box-design-templates/13356496
https://graphicriver.img.customer.envatousercontent.com/files/83766562/Label-Design-Cosmetics.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=dad44cc93bd40cfd64113b5d07bb70dc,Label ,mihalymm,13,134 ,0,0,2014-03-09,https://graphicriver.net/item/label-templates/7068546
https://graphicriver.img.customer.envatousercontent.com/files/175001364/dropper-bottle-design.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=87349ddc5085cd4810747e08c75ad0fe,4 Label Design ,mihalymm,13,131 ,0,0,2016-03-03,https://graphicriver.net/item/4-label-design-templates/15162978
https://graphicriver.img.customer.envatousercontent.com/files/28892848/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=0c742297c99dab8091ce03cab753f5e4,Royal Gift Package Box  V2,EladChai,7,117 ,3.33,3,2012-06-14,https://graphicriver.net/item/royal-gift-package-box-template-v2/2496960
https://graphicriver.img.customer.envatousercontent.com/files/136621368/SETTLERLABELpreview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=4e57cc93790c71d26029aec48fc6341b,White Wine Label Vector ,ShinyPixel,9,113 ,0,0,2015-02-23,https://graphicriver.net/item/white-wine-label-vector-template/10480301
https://graphicriver.img.customer.envatousercontent.com/files/172841385/image_preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=83ef04069d3081e4f281fd50c23071d4,Label Design  Bottle Nutrition Supplement,designstudios,9,113 ,0,0,2015-12-04,https://graphicriver.net/item/label-design-template-bottle-nutrition-supplement/13830448
https://graphicriver.img.customer.envatousercontent.com/files/164247724/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=f6965b017da7a4b421d044326eafd9fb,Supplement labels,jumpingideas,25,104 ,5.0,3,2015-12-23,https://graphicriver.net/item/supplement-labels/14164208
https://graphicriver.img.customer.envatousercontent.com/files/28952080/CD_sleeve_W590px.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=b829247ef645cbaf579acd63f28a2ebc,CD Sleeve,zarins,8,103 ,4.6,5,2012-06-15,https://graphicriver.net/item/cd-sleeve/2503111
https://graphicriver.img.customer.envatousercontent.com/files/196140786/Preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=b9900a9b2581fb3b3283c917d0d23cf5,Honey Jar Label ,designer0007,7,103 ,0,0,2016-07-09,https://graphicriver.net/item/honey-jar-label-template/16993628
https://graphicriver.img.customer.envatousercontent.com/files/28563340/product-display-box-preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=df3ca9d87f2684895873fa39c723fb44,Product Display Box,everytuesday,6,103 ,0,0,2012-06-08,https://graphicriver.net/item/product-display-box/2466190
https://graphicriver.img.customer.envatousercontent.com/files/136623363/BEERLABELpreview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=9ba5e9e1296a122b87a24ebf0afbcdda,Beer Label Vector ,ShinyPixel,9,101 ,0,0,2015-02-21,https://graphicriver.net/item/beer-label-vector-template/10457562
https://graphicriver.img.customer.envatousercontent.com/files/113537803/electronic+cigarette+liquid+box+label+packaging+template.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=b524de01d51eeb8429d91faf38f0583c,E-Cigarette Liquid Flavor Box and Label,joiaco,7,95 ,0,0,2014-11-29,https://graphicriver.net/item/ecigarette-liquid-flavor-box-and-label/9616559
https://graphicriver.img.customer.envatousercontent.com/files/195622155/image_preview.jpg?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=43fa13efde5883c0be933452d1a34f8f,Label Design  Bottle Nutrition Supplement,designstudios,9,86 ,0,0,2016-07-11,https://graphicriver.net/item/label-design-template-bottle-nutrition-supplement/17014345
https://graphicriver.img.customer.envatousercontent.com/files/28860934/Fetish-accessoires-package-template.png?auto=compress%2Cformat&fit=crop&crop=top&w=590&h=590&s=622cee1ccbc0ed6286da51bce5c4dff8,Accessory Fetish Package ,BaGeRa,6,80 ,2.0,4,2012-06-13,https://graphicriver.net/item/accessory-fetish-package-template/2493864
