item,regular_price,silver_price,gold_price,iridium_price,profession,category,sub_category,growth_time,general_store,jojamart,oasis_price,season,seed_price,crops_per_harvest,can_regrow,regular_gold_per_day,silver_gold_per_day,gold_gold_per_day,iridium_gold_per_day
Amaranth,150,187,225,300,none,crop,Fall Crop,7,70,87,0,Fall,70,1,FALSE,11.429,16.714,22.143,32.857
Amaranth,165,205,247,330,tiller,crop,Fall Crop,7,70,87,0,Fall,70,1,FALSE,13.571,19.286,25.286,37.143
Ancient_Fruit,550,687,825,1100,none,crop,Special Crop,28,0,0,0,Special,0,1,FALSE,19.643,24.536,29.464,39.286
Ancient_Fruit,605,755,907,1210,tiller,crop,Special Crop,28,0,0,0,Special,0,1,FALSE,21.607,26.964,32.393,43.214
Apple,100,125,150,200,none,crop,Special Crop,28,4000,0,0,Special,4000,1,FALSE,-139.286,-138.393,-137.5,-135.714
Apple,110,137,165,220,tiller,crop,Special Crop,28,4000,0,0,Special,4000,1,FALSE,-138.929,-137.964,-136.964,-135
Apricot,50,62,75,100,none,crop,Special Crop,28,2000,0,0,Special,2000,1,FALSE,-69.643,-69.214,-68.75,-67.857
Apricot,55,68,82,110,tiller,crop,Special Crop,28,2000,0,0,Special,2000,1,FALSE,-69.464,-69,-68.5,-67.5
Artichoke,160,200,240,320,none,crop,Fall Crop,8,30,0,0,Fall,30,1,FALSE,16.25,21.25,26.25,36.25
Artichoke,176,220,264,352,tiller,crop,Fall Crop,8,30,0,0,Fall,30,1,FALSE,18.25,23.75,29.25,40.25
Banana,150,187,225,300,none,crop,Special Crop,28,0,0,0,Special,0,1,FALSE,5.357,6.679,8.036,10.714
Banana,165,205,247,330,tiller,crop,Special Crop,28,0,0,0,Special,0,1,FALSE,5.893,7.321,8.821,11.786
Beet,100,125,150,200,none,crop,Fall Crop,6,0,0,20,Fall,20,1,FALSE,13.333,17.5,21.667,30
Beet,110,137,165,220,tiller,crop,Fall Crop,6,0,0,20,Fall,20,1,FALSE,15,19.5,24.167,33.333
Blackberry,20,25,30,40,none,crop,Special Crop,0,0,0,0,Special,0,1,FALSE,Inf,Inf,Inf,Inf
Blue_Jazz,50,62,75,100,none,crop,Spring Crop,7,30,37,0,Spring,30,1,FALSE,2.857,4.571,6.429,10
Blue_Jazz,55,68,82,110,tiller,crop,Spring Crop,7,30,37,0,Spring,30,1,FALSE,3.571,5.429,7.429,11.429
Blueberry,50,62,75,100,none,crop,Summer Crop,13,80,0,0,Summer,80,3,TRUE,5.385,8.154,11.154,16.923
Blueberry,55,68,82,110,tiller,crop,Summer Crop,13,80,0,0,Summer,80,3,TRUE,6.538,9.538,12.769,19.231
Bok_Choy,80,100,120,160,none,crop,Fall Crop,4,50,62,0,Fall,50,1,FALSE,7.5,12.5,17.5,27.5
Bok_Choy,88,110,132,176,tiller,crop,Fall Crop,4,50,62,0,Fall,50,1,FALSE,9.5,15,20.5,31.5
Broccoli,70,87,105,140,none,crop,Fall Crop,8,0,0,0,Fall,0,1,TRUE,8.75,10.875,13.125,17.5
Broccoli,77,95,115,154,tiller,crop,Fall Crop,8,0,0,0,Fall,0,1,TRUE,9.625,11.875,14.375,19.25
