title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,517631,"DK, FI, NO, SE"
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,444402,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1106220,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"A History of Violence",movie,"Action, Crime, Drama",2005,tt0399146,7.4,259294,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,736508,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, US, UY, VE"
"Absolute Power",movie,"Action, Crime, Drama",1997,tt0118548,6.7,61343,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,733391,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,146021,"FR, MC"
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1209761,NL
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,248765,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Before Sunrise",movie,"Drama, Romance",1995,tt0112471,8.1,349221,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,838768,"AD, BA, BE, BG, CZ, DK, ES, FI, FR, HR, HU, MC, MD, ME, MK, NO, PL, PT, RO, RS, SE, SI, SK"
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,295077,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,125937,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1679923,"BA, BE, BG, CZ, FR, HR, MC, MD, ME, MK, PL, RO, RS, SI, SK"
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,950626,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,928412,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,112869,"DK, FI, NO, SE, US"
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,81353,"DK, FI, NO, SE, US"
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,112012,"DK, FI, NO, SE, US"
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,375102,"AD, DK, ES, FI, NO, PT, SE, US"
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,541005,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Lord of the Rings: The Fellowship of the Ring",movie,"Action, Adventure, Drama",2001,tt0120737,8.9,2059701,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"The Lord of the Rings: The Two Towers",movie,"Action, Adventure, Drama",2002,tt0167261,8.8,1830136,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"The Lord of the Rings: The Return of the King",movie,"Action, Adventure, Drama",2003,tt0167260,9,2029972,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Princess Mononoke",movie,"Action, Adventure, Animation",1997,tt0119698,8.3,446699,US
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,393494,US
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,284908,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,129885,US
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2946547,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,633093,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,420817,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"The Interpreter",movie,"Crime, Mystery, Thriller",2005,tt0373926,6.4,111868,"FR, MC"
"The Good German",movie,"Drama, Mystery, Romance",2006,tt0452624,6,26287,PT
"A Clockwork Orange",movie,"Crime, Sci-Fi",1971,tt0066921,8.2,896907,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1110357,"AD, ES, PT"
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,122054,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"North by Northwest",movie,"Action, Adventure, Mystery",1959,tt0053125,8.3,353172,"BE, FR, MC"
"East of Eden",movie,Drama,1955,tt0048028,7.8,49589,"BE, FR, MC"
"Rebel Without a Cause",movie,Drama,1955,tt0048545,7.6,99444,"BE, FR, MC"
"Bride of Frankenstein",movie,"Drama, Horror, Sci-Fi",1935,tt0026138,7.8,54879,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,135491,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2067715,"AD, ES, PT"
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1396513,"AD, ES, PT"
