title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,517631,"AT, CH, DE"
"Kill Bill: Vol. 1",movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1223205,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CA, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TD, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,211839,"AD, AE, AG, AL, AO, AT, AZ, BA, BG, BH, BM, BR, BS, BY, BZ, CH, CI, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, GF, GH, GR, GT, HK, HN, HR, HU, ID, IL, IQ, IS, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NG, NL, NO, NZ, PA, PE, PF, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SN, SV, TC, TH, TR, TW, TZ, UA, US, UY, VE, ZA, ZM, ZW"
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,444402,"AU, BA, BG, CZ, HR, HU, MD, ME, MK, NZ, PL, RO, RS, SI, SK"
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1106220,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
"Amores Perros",movie,"Drama, Thriller",2000,tt0245712,8,256780,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"A History of Violence",movie,"Action, Crime, Drama",2005,tt0399146,7.4,259294,"AD, CA, ES, GB, GG, IE, PT"
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,736508,"AU, NZ"
"Talk to Her",movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,118788,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"8 Mile",movie,"Drama, Music",2002,tt0298203,7.2,330832,"AE, AO, BH, CH, CI, CM, CV, CY, DZ, EG, FJ, FR, GB, GG, GH, GI, GQ, HK, ID, IE, IL, IN, IQ, IT, JO, JP, KE, KW, LB, LY, MA, MC, MG, ML, MU, MX, MY, MZ, NE, NG, OM, PH, PK, PS, QA, SA, SC, SG, SM, SN, TH, TN, TR, TW, TZ, UG, US, YE, ZA, ZM, ZW"
"Paradise Now",movie,"Crime, Drama, Thriller",2005,tt0445620,7.4,24335,"AE, BH, DZ, EG, IQ, JO, KW, LB, LY, MA, OM, PS, QA, SA, TN, YE"
"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,733391,"IT, SM, US"
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,146021,GB
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1209761,"AD, ES, PT"
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,483261,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,248765,"BE, CH, IT, SM"
"Before Sunrise",movie,"Drama, Romance",1995,tt0112471,8.1,349221,"AU, CY, NZ, TR"
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1350479,KR
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,189266,"HK, KR, US"
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,295077,"AU, NZ, US"
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,187003,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1055049,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,543657,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Dirty Dancing",movie,"Drama, Music, Romance",1987,tt0092890,7.1,263615,CA
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,824644,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,219976,"IT, KR, NZ"
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,141202,"IT, KR, NZ"
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1679923,"CA, KR"
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,104852,ES
"Lock, Stock and Two Smoking Barrels",movie,"Action, Comedy, Crime",1998,tt0120735,8.1,626081,BE
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1275522,"CA, JP"
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11112,"DK, FI, NO, SE"
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,950626,"AE, AT, BH, CA, CH, DE, DZ, EE, EG, IL, IQ, IT, JO, KW, LB, LI, LT, LU, LV, LY, MA, MC, MT, NZ, OM, PS, QA, SA, SM, TN, TR, YE"
"Run Lola Run",movie,"Action, Crime, Thriller",1998,tt0130827,7.6,210606,"AT, CH, DE, LI"
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,928412,"AT, BE, CH, CY, DE, EE, FJ, GB, GG, GI, GR, HK, ID, IE, IL, IN, LI, LT, LU, LV, MT, MY, NZ, PH, PK, PT, SG, TH, TR, TW"
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,940694,"CA, US"
"Italian for Beginners",movie,"Comedy, Drama, Romance",2000,tt0243862,7,14054,"DK, FI, NO, SE"
