title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,8776,JP
"Shadows in Paradise",movie,"Comedy, Drama, Music",1986,tt0092149,7.5,7538,JP
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2320505,JP
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,517631,JP
"My Life Without Me",movie,"Drama, Romance",2003,tt0314412,7.4,26044,JP
"Pirates of the Caribbean: The Curse of the Black Pearl",movie,"Action, Adventure, Fantasy",2003,tt0325980,8.1,1238597,US
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,444402,JP
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,656154,JP
"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,733391,JP
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,483261,JP
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1350479,JP
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,838768,JP
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,189266,JP
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1055049,JP
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,543657,JP
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,824644,JP
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,458759,"JP, US"
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,104852,JP
Predator,movie,"Action, Adventure, Horror",1987,tt0093773,7.8,467698,US
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,928412,US
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,375102,JP
"Match Point",movie,"Drama, Romance, Thriller",2005,tt0416320,7.6,231198,JP
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,541005,JP
"The Lord of the Rings: The Fellowship of the Ring",movie,"Action, Adventure, Drama",2001,tt0120737,8.9,2059701,JP
"The Lord of the Rings: The Two Towers",movie,"Action, Adventure, Drama",2002,tt0167261,8.8,1830136,JP
"The Lord of the Rings: The Return of the King",movie,"Action, Adventure, Drama",2003,tt0167260,9,2029972,JP
"O Brother, Where Art Thou?",movie,"Comedy, Crime, Drama",2000,tt0190590,7.7,336668,US
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,866966,US
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,79211,JP
Akira,movie,"Action, Animation, Drama",1988,tt0094625,8,210805,JP
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,502488,JP
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2946547,JP
"Edward Scissorhands",movie,"Drama, Fantasy, Romance",1990,tt0099487,7.9,537486,US
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,420817,JP
"Breakfast at Tiffany's",movie,"Comedy, Drama, Romance",1961,tt0054698,7.6,195619,JP
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,586328,JP
K-PAX,movie,"Drama, Mystery, Sci-Fi",2001,tt0272152,7.4,195239,JP
"Predator 2",movie,"Action, Horror, Sci-Fi",1990,tt0100403,6.3,187923,US
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,480545,JP
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,593895,JP
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,800754,JP
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,172733,JP
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,806930,JP
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.4,491459,JP
"Dead Poets Society",movie,"Comedy, Drama",1989,tt0097165,8.1,568927,US
